,Hotel Name,Address,Rating (5),Price (2)
1,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
2,Wok Toss,TG West Pune,4.7,1000
3,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
4,Fountain House,HG West Pune,4.4,1500
5,Urban Tadka,"TS Nagar, West Pune",4.6,1100
6,Pop Tate's,"TS Nagar, West Pune",4.4,1900
7,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
8,Little Italy,"IS Nagar, West Pune",4.1,1500
9,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
10,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
11,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
12,Madeline,"MS Nagar, West Pune",4.4,900
13,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
14,Agent Jack's Bar,"BI Trade Tower,Senapati Bapat Road, West Pune",3.9,1200
15,Mughal's,"MF Road, West Pune",5.0,1000
16,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
17,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
18,High Garden,"GS Bapat Road, West Pune",4.2,1000
19,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
20,S,"SK at Eternia RoofTopICC Trade Tower,Senapati Bapat Road, West Pune",3.9,2000
21,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
22,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
23,Wok Toss,TG West Pune,4.7,1000
24,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
25,Fountain House,HG West Pune,4.4,1500
26,Urban Tadka,"TS Nagar, West Pune",4.6,1100
27,Pop Tate's,"TS Nagar, West Pune",4.4,1900
28,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
29,Little Italy,"IS Nagar, West Pune",4.1,1500
30,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
31,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
32,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
33,Madeline,"MS Nagar, West Pune",4.4,900
34,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
35,Agent Jack's Bar,"BI Trade Tower,Senapati Bapat Road, West Pune",3.9,1200
36,Mughal's,"MF Road, West Pune",5.0,1000
37,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
38,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
39,High Garden,"GS Bapat Road, West Pune",4.2,1000
40,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
41,S,"SK at Eternia RoofTopICC Trade Tower,Senapati Bapat Road, West Pune",3.9,2000
42,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
43,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
44,Wok Toss,TG West Pune,4.7,1000
45,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
46,Fountain House,HG West Pune,4.4,1500
47,Urban Tadka,"TS Nagar, West Pune",4.6,1100
48,Pop Tate's,"TS Nagar, West Pune",4.4,1900
49,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
50,Little Italy,"IS Nagar, West Pune",4.1,1500
51,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
52,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
53,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
54,Madeline,"MS Nagar, West Pune",4.4,900
55,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
56,Agent Jack's Bar,"BI Trade Tower,Senapati Bapat Road, West Pune",3.9,1200
57,Mughal's,"MF Road, West Pune",5.0,1000
58,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
59,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
60,High Garden,"GS Bapat Road, West Pune",4.2,1000
61,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
62,S,"SK at Eternia RoofTopICC Trade Tower,Senapati Bapat Road, West Pune",3.9,2000
63,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
64,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
65,Wok Toss,TG West Pune,4.7,1000
66,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
67,Fountain House,HG West Pune,4.4,1500
68,Urban Tadka,"TS Nagar, West Pune",4.6,1100
69,Pop Tate's,"TS Nagar, West Pune",4.4,1900
