,Hotel Name,Address,Rating (5),Price (2)
0,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
1,Wok Toss,TG West Pune,4.7,1000
2,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
3,Fountain House,HG West Pune,4.4,1500
4,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5,Pop Tate's,"TS Nagar, West Pune",4.4,1900
6,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
7,Little Italy,"IS Nagar, West Pune",4.1,1500
8,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
9,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
10,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
11,Madeline,"MS Nagar, West Pune",4.4,900
12,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
13,Mughal's,"MF Road, West Pune",5.0,1000
14,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
15,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
16,High Garden,"GS Bapat Road, West Pune",4.2,1000
17,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
18,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
19,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
20,Wok Toss,TG West Pune,4.7,1000
21,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
22,Fountain House,HG West Pune,4.4,1500
23,Urban Tadka,"TS Nagar, West Pune",4.6,1100
24,Pop Tate's,"TS Nagar, West Pune",4.4,1900
25,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
26,Little Italy,"IS Nagar, West Pune",4.1,1500
27,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
28,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
29,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
30,Madeline,"MS Nagar, West Pune",4.4,900
31,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
32,Mughal's,"MF Road, West Pune",5.0,1000
33,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
34,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
35,High Garden,"GS Bapat Road, West Pune",4.2,1000
36,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
37,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
38,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
39,Wok Toss,TG West Pune,4.7,1000
40,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
41,Fountain House,HG West Pune,4.4,1500
42,Urban Tadka,"TS Nagar, West Pune",4.6,1100
43,Pop Tate's,"TS Nagar, West Pune",4.4,1900
44,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
45,Little Italy,"IS Nagar, West Pune",4.1,1500
46,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
47,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
48,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
49,Madeline,"MS Nagar, West Pune",4.4,900
50,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
51,Mughal's,"MF Road, West Pune",5.0,1000
52,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
53,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
54,High Garden,"GS Bapat Road, West Pune",4.2,1000
55,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
56,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
57,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
58,Wok Toss,TG West Pune,4.7,1000
59,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
60,Fountain House,HG West Pune,4.4,1500
61,Urban Tadka,"TS Nagar, West Pune",4.6,1100
62,Pop Tate's,"TS Nagar, West Pune",4.4,1900
63,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
64,Little Italy,"IS Nagar, West Pune",4.1,1500
65,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
66,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
67,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
68,Madeline,"MS Nagar, West Pune",4.4,900
69,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
70,Mughal's,"MF Road, West Pune",5.0,1000
71,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
